fortuner.fortun.12,100070726473115,Directed,154640,,1
100015426643029,100070726473115,Directed,154639,,1
mbak.sri.5243817,100070726473115,Directed,154638,,1
100073312233911,bangg.kanouelietzh,Directed,155919,,1
100073312233911,syamsidar.dedek.1,Directed,154038,,1
bangg.kanouelietzh,100073312233911,Directed,152472,,1
syamsidar.dedek.1,100073312233911,Directed,152471,,1
suprianto.pane.3,mjsitorus.pane,Directed,156411,,1
suprianto.pane.3,rezah1997,Directed,156306,,1
suprianto.pane.3,defryindry.indry,Directed,156116,,1
suprianto.pane.3,susi.frengky.7,Directed,155264,,1
suprianto.pane.3,safarudin.chaniago.9,Directed,155063,,1
suprianto.pane.3,100077634235812,Directed,154880,,1
suprianto.pane.3,100090265117394,Directed,154540,,1
suprianto.pane.3,100089661227429,Directed,154427,,1
suprianto.pane.3,vikri.nex,Directed,154138,,1
suprianto.pane.3,syamsidar.dedek.1,Directed,154033,,1
suprianto.pane.3,sivajuwit.sivajuwita,Directed,153585,,1
suprianto.pane.3,100072227381034,Directed,153423,,1
suprianto.pane.3,ferdina.zen,Directed,152477,,1
suprianto.pane.3,100073372478412,Directed,152431,,1
suprianto.pane.3,100078011950694,Directed,152427,,1
100089661227429,suprianto.pane.3,Directed,155087,,1
sunarji.sunarji.169405,suprianto.pane.3,Directed,155086,,1
bangg.kanouelietzh,suprianto.pane.3,Directed,155085,,1
100075341432508,suprianto.pane.3,Directed,155084,,1
100090265117394,suprianto.pane.3,Directed,155082,,1
ayu.azari.961,suprianto.pane.3,Directed,155081,,1
evan.adventry,suprianto.pane.3,Directed,155080,,1
safarudin.chaniago.9,suprianto.pane.3,Directed,155077,,1
100072227381034,suprianto.pane.3,Directed,155076,,1
susi.frengky.7,suprianto.pane.3,Directed,155075,,1
syamsidar.dedek.1,suprianto.pane.3,Directed,155074,,1
100088511294114,suprianto.pane.3,Directed,155073,,1
lika.yusnanda,suprianto.pane.3,Directed,155072,,1
defryindry.indry,suprianto.pane.3,Directed,155070,,1
ferdina.zen,suprianto.pane.3,Directed,155069,,1
mjsitorus.pane,suprianto.pane.3,Directed,155068,,1
safrijal.rijal.3110,evahutapeya.eva,Directed,156279,,1
safrijal.rijal.3110,combet.cur.7,Directed,156044,,1
safrijal.rijal.3110,100034678343486,Directed,155903,,1
safrijal.rijal.3110,100073290743866,Directed,155658,,1
safrijal.rijal.3110,kakekazka.kakekazka,Directed,154958,,1
safrijal.rijal.3110,100048960557089,Directed,154889,,1
safrijal.rijal.3110,100070021790218,Directed,154653,,1
safrijal.rijal.3110,100085334845884,Directed,154343,,1
safrijal.rijal.3110,100089458483477,Directed,154087,,1
safrijal.rijal.3110,suefsuef.suefsuef,Directed,153718,,1
safrijal.rijal.3110,100071735144971,Directed,153633,,1
100089458483477,safrijal.rijal.3110,Directed,153302,,1
dewi.nova.1441,safrijal.rijal.3110,Directed,153300,,1
100085334845884,safrijal.rijal.3110,Directed,153299,,1
evahutapeya.eva,safrijal.rijal.3110,Directed,153296,,1
100070021790218,safrijal.rijal.3110,Directed,153295,,1
100070367738996,safrijal.rijal.3110,Directed,153294,,1
100073290743866,safrijal.rijal.3110,Directed,153293,,1
rina.starla.5,100077634235812,Directed,154881,,1
100085941581247,edseptian,Directed,156204,,1
100085941581247,defryindry.indry,Directed,156122,,1
100085941581247,darmadi.chanigho,Directed,156061,,1
100085941581247,danny.bekend.7,Directed,156053,,1
100085941581247,arifin.y.gultom,Directed,155846,,1
100085941581247,fortuner.fortun.12,Directed,155673,,1
100085941581247,yogi.andrean.9480,Directed,155294,,1
100085941581247,safarudin.chaniago.9,Directed,155066,,1
100085941581247,libra.simarmata.7,Directed,155043,,1
100085941581247,100078078352972,Directed,154781,,1
100085941581247,iwandri.iwandri.7509,Directed,154722,,1
100085941581247,syamsul.hasibuan.35,Directed,154508,,1
100085941581247,gozali.draghsters,Directed,154500,,1
100085941581247,100073635041649,Directed,154454,,1
100085941581247,winson.gultom.90,Directed,154195,,1
100085941581247,uwo.eko.5,Directed,154106,,1
100085941581247,ulfadianty.pasaribu,Directed,154075,,1
100085941581247,tahandar.pardede,Directed,154050,,1
100085941581247,suriany.yani.3,Directed,153921,,1
100085941581247,100079317817530,Directed,153601,,1
100085941581247,rio.naldy.96,Directed,152540,,1
100085941581247,100076559285014,Directed,152507,,1
100085941581247,oktavia.adelina.56,Directed,152361,,1
100085941581247,irma.damayanti.1023,Directed,152354,,1
100085941581247,marhite.naibaho,Directed,152323,,1
100084152666944,100085941581247,Directed,153506,,1
